       (  →  Parentesis abierto posición 26, linea 5
       (  →  Parentesis abierto posición 33, linea 6
       (  →  Parentesis abierto posición 35, linea 17
       (  →  Parentesis abierto posición 38, linea 18
       (  →  Parentesis abierto posición 21, linea 19
       (  →  Parentesis abierto posición 38, linea 19
       (  →  Parentesis abierto posición 46, linea 20
       (  →  Parentesis abierto posición 35, linea 21
       (  →  Parentesis abierto posición 35, linea 25
       (  →  Parentesis abierto posición 68, linea 25
       (  →  Parentesis abierto posición 35, linea 26
       (  →  Parentesis abierto posición 36, linea 29
       (  →  Parentesis abierto posición 20, linea 30
       (  →  Parentesis abierto posición 37, linea 30
       (  →  Parentesis abierto posición 62, linea 30
       (  →  Parentesis abierto posición 87, linea 30
       (  →  Parentesis abierto posición 37, linea 31
       (  →  Parentesis abierto posición 62, linea 31
       (  →  Parentesis abierto posición 87, linea 31
       (  →  Parentesis abierto posición 37, linea 32
       (  →  Parentesis abierto posición 21, linea 35
       (  →  Parentesis abierto posición 35, linea 40
       (  →  Parentesis abierto posición 38, linea 41
       (  →  Parentesis abierto posición 21, linea 42
       (  →  Parentesis abierto posición 38, linea 42
       (  →  Parentesis abierto posición 46, linea 43
       (  →  Parentesis abierto posición 35, linea 44
       (  →  Parentesis abierto posición 23, linea 49
       (  →  Parentesis abierto posición 30, linea 62
       (  →  Parentesis abierto posición 55, linea 64
       (  →  Parentesis abierto posición 58, linea 66
       (  →  Parentesis abierto posición 40, linea 67
       (  →  Parentesis abierto posición 57, linea 67
       (  →  Parentesis abierto posición 63, linea 68
       (  →  Parentesis abierto posición 52, linea 69
       (  →  Parentesis abierto posición 39, linea 74
       (  →  Parentesis abierto posición 30, linea 77
       (  →  Parentesis abierto posición 55, linea 79
       (  →  Parentesis abierto posición 58, linea 81
       (  →  Parentesis abierto posición 40, linea 82
       (  →  Parentesis abierto posición 57, linea 82
       (  →  Parentesis abierto posición 63, linea 83
       (  →  Parentesis abierto posición 52, linea 84
       (  →  Parentesis abierto posición 19, linea 89
       (  →  Parentesis abierto posición 31, linea 91
       (  →  Parentesis abierto posición 33, linea 91
       (  →  Parentesis abierto posición 69, linea 91
       (  →  Parentesis abierto posición 31, linea 92
       (  →  Parentesis abierto posición 31, linea 93
       (  →  Parentesis abierto posición 40, linea 96
       (  →  Parentesis abierto posición 24, linea 98
       (  →  Parentesis abierto posición 43, linea 105
       (  →  Parentesis abierto posición 19, linea 108
       (  →  Parentesis abierto posición 15, linea 109
       (  →  Parentesis abierto posición 32, linea 109
       (  →  Parentesis abierto posición 57, linea 109
       )  →  Parentesis cerrado posición 40, linea 5
       )  →  Parentesis cerrado posición 43, linea 6
       )  →  Parentesis cerrado posición 91, linea 17
       )  →  Parentesis cerrado posición 39, linea 18
       )  →  Parentesis cerrado posición 62, linea 19
       )  →  Parentesis cerrado posición 63, linea 19
       )  →  Parentesis cerrado posición 54, linea 20
       )  →  Parentesis cerrado posición 43, linea 21
       )  →  Parentesis cerrado posición 90, linea 25
       )  →  Parentesis cerrado posición 92, linea 25
       )  →  Parentesis cerrado posición 43, linea 28
       )  →  Parentesis cerrado posición 37, linea 29
       )  →  Parentesis cerrado posición 41, linea 30
       )  →  Parentesis cerrado posición 66, linea 30
       )  →  Parentesis cerrado posición 91, linea 30
       )  →  Parentesis cerrado posición 41, linea 31
       )  →  Parentesis cerrado posición 66, linea 31
       )  →  Parentesis cerrado posición 91, linea 31
       )  →  Parentesis cerrado posición 41, linea 32
       )  →  Parentesis cerrado posición 42, linea 32
       )  →  Parentesis cerrado posición 39, linea 35
       )  →  Parentesis cerrado posición 75, linea 40
       )  →  Parentesis cerrado posición 39, linea 41
       )  →  Parentesis cerrado posición 62, linea 42
       )  →  Parentesis cerrado posición 63, linea 42
       )  →  Parentesis cerrado posición 54, linea 43
       )  →  Parentesis cerrado posición 43, linea 44
       )  →  Parentesis cerrado posición 33, linea 49
       )  →  Parentesis cerrado posición 38, linea 62
       )  →  Parentesis cerrado posición 97, linea 65
       )  →  Parentesis cerrado posición 59, linea 66
       )  →  Parentesis cerrado posición 81, linea 67
       )  →  Parentesis cerrado posición 82, linea 67
       )  →  Parentesis cerrado posición 71, linea 68
       )  →  Parentesis cerrado posición 60, linea 69
       )  →  Parentesis cerrado posición 46, linea 74
       )  →  Parentesis cerrado posición 38, linea 77
       )  →  Parentesis cerrado posición 97, linea 80
       )  →  Parentesis cerrado posición 59, linea 81
       )  →  Parentesis cerrado posición 81, linea 82
       )  →  Parentesis cerrado posición 82, linea 82
       )  →  Parentesis cerrado posición 71, linea 83
       )  →  Parentesis cerrado posición 60, linea 84
       )  →  Parentesis cerrado posición 37, linea 89
       )  →  Parentesis cerrado posición 49, linea 91
       )  →  Parentesis cerrado posición 85, linea 91
       )  →  Parentesis cerrado posición 101, linea 91
       )  →  Parentesis cerrado posición 75, linea 92
       )  →  Parentesis cerrado posición 40, linea 93
       )  →  Parentesis cerrado posición 41, linea 96
       )  →  Parentesis cerrado posición 34, linea 98
       )  →  Parentesis cerrado posición 83, linea 105
       )  →  Parentesis cerrado posición 37, linea 108
       )  →  Parentesis cerrado posición 36, linea 109
       )  →  Parentesis cerrado posición 61, linea 109
       )  →  Parentesis cerrado posición 62, linea 109
       [  →  Corchete abierto posición 33, linea 5
       [  →  Corchete abierto posición 40, linea 19
       [  →  Corchete abierto posición 45, linea 19
       [  →  Corchete abierto posición 51, linea 19
       [  →  Corchete abierto posición 55, linea 19
       [  →  Corchete abierto posición 40, linea 42
       [  →  Corchete abierto posición 45, linea 42
       [  →  Corchete abierto posición 51, linea 42
       [  →  Corchete abierto posición 55, linea 42
       [  →  Corchete abierto posición 59, linea 67
       [  →  Corchete abierto posición 64, linea 67
       [  →  Corchete abierto posición 70, linea 67
       [  →  Corchete abierto posición 74, linea 67
       [  →  Corchete abierto posición 59, linea 82
       [  →  Corchete abierto posición 64, linea 82
       [  →  Corchete abierto posición 70, linea 82
       [  →  Corchete abierto posición 74, linea 82
       [  →  Corchete abierto posición 34, linea 93
       ]  →  Corchete cerrado posición 34, linea 5
       ]  →  Corchete cerrado posición 43, linea 19
       ]  →  Corchete cerrado posición 49, linea 19
       ]  →  Corchete cerrado posición 53, linea 19
       ]  →  Corchete cerrado posición 59, linea 19
       ]  →  Corchete cerrado posición 43, linea 42
       ]  →  Corchete cerrado posición 49, linea 42
       ]  →  Corchete cerrado posición 53, linea 42
       ]  →  Corchete cerrado posición 59, linea 42
       ]  →  Corchete cerrado posición 62, linea 67
       ]  →  Corchete cerrado posición 68, linea 67
       ]  →  Corchete cerrado posición 72, linea 67
       ]  →  Corchete cerrado posición 78, linea 67
       ]  →  Corchete cerrado posición 62, linea 82
       ]  →  Corchete cerrado posición 68, linea 82
       ]  →  Corchete cerrado posición 72, linea 82
       ]  →  Corchete cerrado posición 78, linea 82
       ]  →  Corchete cerrado posición 38, linea 93
       {  →  Llave abierta posición 23, linea 34
       }  →  Llave cerrada posición 13, linea 19
       }  →  Llave cerrada posición 17, linea 34
       }  →  Llave cerrada posición 13, linea 35
       }  →  Llave cerrada posición 13, linea 42
       }  →  Llave cerrada posición 33, linea 67
       }  →  Llave cerrada posición 33, linea 82
       }  →  Llave cerrada posición 13, linea 89
       }  →  Llave cerrada posición 13, linea 108
       }  →  Llave cerrada posición 9, linea 109
       +  →  Signo de suma / concatenación posición 100, linea 14
       +  →  Signo de suma / concatenación posición 41, linea 19
       +  →  Signo de suma / concatenación posición 60, linea 19
       +  →  Signo de suma / concatenación posición 64, linea 26
       +  →  Signo de suma / concatenación posición 25, linea 27
       +  →  Signo de suma / concatenación posición 25, linea 28
       +  →  Signo de suma / concatenación posición 39, linea 30
       +  →  Signo de suma / concatenación posición 41, linea 42
       +  →  Signo de suma / concatenación posición 60, linea 42
       +  →  Signo de suma / concatenación posición 27, linea 50
       +  →  Signo de suma / concatenación posición 34, linea 51
       +  →  Signo de suma / concatenación posición 45, linea 65
       +  →  Signo de suma / concatenación posición 60, linea 67
       +  →  Signo de suma / concatenación posición 79, linea 67
       +  →  Signo de suma / concatenación posición 45, linea 80
       +  →  Signo de suma / concatenación posición 60, linea 82
       +  →  Signo de suma / concatenación posición 79, linea 82
       +  →  Signo de suma / concatenación posición 36, linea 91
       +  →  Signo de suma / concatenación posición 46, linea 91
       +  →  Signo de suma / concatenación posición 53, linea 91
       +  →  Signo de suma / concatenación posición 65, linea 91
       +  →  Signo de suma / concatenación posición 72, linea 91
       +  →  Signo de suma / concatenación posición 82, linea 91
       +  →  Signo de suma / concatenación posición 88, linea 91
       +  →  Signo de suma / concatenación posición 96, linea 91
       -  →  Signo de resta posición 106, linea 14
       -  →  Signo de resta posición 42, linea 19
       -  →  Signo de resta posición 77, linea 26
       -  →  Signo de resta posición 64, linea 30
       -  →  Signo de resta posición 42, linea 42
       -  →  Signo de resta posición 27, linea 53
       -  →  Signo de resta posición 34, linea 54
       -  →  Signo de resta posición 61, linea 67
       -  →  Signo de resta posición 61, linea 82
       /  →  Signo de división posición 27, linea 2
       /  →  Signo de división posición 28, linea 2
       /  →  Signo de división posición 13, linea 12
       /  →  Signo de división posición 14, linea 12
       /  →  Signo de división posición 13, linea 13
       /  →  Signo de división posición 13, linea 22
       /  →  Signo de división posición 14, linea 22
       /  →  Signo de división posición 48, linea 27
       /  →  Signo de división posición 64, linea 31
       /  →  Signo de división posición 13, linea 37
       /  →  Signo de división posición 14, linea 37
       /  →  Signo de división posición 13, linea 45
       /  →  Signo de división posición 14, linea 45
       /  →  Signo de división posición 27, linea 60
       /  →  Signo de división posición 25, linea 61
       /  →  Signo de división posición 34, linea 71
       /  →  Signo de división posición 36, linea 93
       *  →  Signo de multiplicación posición 14, linea 13
       *  →  Signo de multiplicación posición 485, linea 14
       *  →  Signo de multiplicación posición 50, linea 19
       *  →  Signo de multiplicación posición 63, linea 27
       *  →  Signo de multiplicación posición 39, linea 32
       *  →  Signo de multiplicación posición 50, linea 42
       *  →  Signo de multiplicación posición 34, linea 58
       *  →  Signo de multiplicación posición 26, linea 61
       *  →  Signo de multiplicación posición 499, linea 61
       *  →  Signo de multiplicación posición 69, linea 67
       *  →  Signo de multiplicación posición 27, linea 73
       *  →  Signo de multiplicación posición 69, linea 82
       %  →  Signo de resto de división entera  posición 31, linea 28
       %  →  Signo de resto de división entera  posición 89, linea 31
       %  →  Signo de resto de división entera  posición 27, linea 76
       %  →  Signo de resto de división entera  posición 34, linea 86
       ;  →  Punto y coma  posición 25, linea 2
       ;  →  Punto y coma  posición 42, linea 34
       ,  →  Coma posición 27, linea 13
       ,  →  Coma posición 29, linea 14
       ,  →  Coma posición 108, linea 14
       ,  →  Coma posición 266, linea 14
       ,  →  Coma posición 276, linea 14
       ,  →  Coma posición 400, linea 14
       ,  →  Coma posición 421, linea 14
       ,  →  Coma posición 49, linea 17
       ,  →  Coma posición 49, linea 40
       ,  →  Coma posición 80, linea 61
       ,  →  Coma posición 124, linea 61
       ,  →  Coma posición 168, linea 61
       ,  →  Coma posición 219, linea 61
       ,  →  Coma posición 278, linea 61
       ,  →  Coma posición 341, linea 61
       ,  →  Coma posición 368, linea 61
       ,  →  Coma posición 419, linea 61
       ,  →  Coma posición 446, linea 61
       ,  →  Coma posición 55, linea 65
       ,  →  Coma posición 42, linea 74
       ,  →  Coma posición 55, linea 80
       ,  →  Coma posición 53, linea 105
       .  →  Punto posición 12, linea 2
       .  →  Punto posición 17, linea 2
       .  →  Punto posición 40, linea 6
       .  →  Punto posición 169, linea 14
       .  →  Punto posición 308, linea 14
       .  →  Punto posición 361, linea 14
       .  →  Punto posición 381, linea 14
       .  →  Punto posición 484, linea 14
       .  →  Punto posición 23, linea 17
       .  →  Punto posición 27, linea 17
       .  →  Punto posición 88, linea 17
       .  →  Punto posición 29, linea 18
       .  →  Punto posición 30, linea 19
       .  →  Punto posición 52, linea 19
       .  →  Punto posición 34, linea 20
       .  →  Punto posición 23, linea 25
       .  →  Punto posición 27, linea 25
       .  →  Punto posición 23, linea 26
       .  →  Punto posición 27, linea 26
       .  →  Punto posición 105, linea 27
       .  →  Punto posición 27, linea 29
       .  →  Punto posición 30, linea 30
       .  →  Punto posición 55, linea 30
       .  →  Punto posición 80, linea 30
       .  →  Punto posición 30, linea 31
       .  →  Punto posición 55, linea 31
       .  →  Punto posición 80, linea 31
       .  →  Punto posición 30, linea 32
       .  →  Punto posición 23, linea 40
       .  →  Punto posición 27, linea 40
       .  →  Punto posición 73, linea 40
       .  →  Punto posición 29, linea 41
       .  →  Punto posición 30, linea 42
       .  →  Punto posición 52, linea 42
       .  →  Punto posición 34, linea 43
       .  →  Punto posición 497, linea 61
       .  →  Punto posición 43, linea 64
       .  →  Punto posición 47, linea 64
       .  →  Punto posición 95, linea 65
       .  →  Punto posición 49, linea 66
       .  →  Punto posición 49, linea 67
       .  →  Punto posición 71, linea 67
       .  →  Punto posición 51, linea 68
       .  →  Punto posición 35, linea 74
       .  →  Punto posición 43, linea 79
       .  →  Punto posición 47, linea 79
       .  →  Punto posición 95, linea 80
       .  →  Punto posición 49, linea 81
       .  →  Punto posición 49, linea 82
       .  →  Punto posición 71, linea 82
       .  →  Punto posición 51, linea 83
       .  →  Punto posición 19, linea 91
       .  →  Punto posición 23, linea 91
       .  →  Punto posición 19, linea 92
       .  →  Punto posición 23, linea 92
       .  →  Punto posición 19, linea 93
       .  →  Punto posición 23, linea 93
       .  →  Punto posición 31, linea 96
       .  →  Punto posición 31, linea 105
       .  →  Punto posición 35, linea 105
       .  →  Punto posición 78, linea 105
       .  →  Punto posición 25, linea 109
       .  →  Punto posición 50, linea 109
       =  →  Operador de asignación posición 20, linea 6
